start_year,tract_2020,privately_owned_parcels,foreclosures,foreclosures_per_1k
1998,55079018800,346,1,2.890173410404624
1998,55079018900,368,2,5.434782608695652
1998,55079019000,1356,2,1.4749262536873156
1998,55079019100,611,1,1.6366612111292964
1998,55079019200,1142,2,1.7513134851138354
1998,55079019300,973,1,1.027749229188078
1998,55079019500,1019,1,0.9813542688910696
1998,55079019600,999,2,2.002002002002002
1998,55079019700,1332,2,1.5015015015015014
1998,55079019800,1594,2,1.2547051442910915
1998,55079019900,1008,1,0.992063492063492
1998,55079020100,709,1,1.4104372355430184
1998,55079020200,955,2,2.0942408376963355
1998,55079020300,1123,3,2.6714158504007126
1998,55079020400,627,2,3.189792663476874
1998,55079020500,638,1,1.567398119122257
1998,55079020600,1246,3,2.407704654895666
1998,55079020800,1059,4,3.7771482530689333
1998,55079020900,828,4,4.830917874396135
1998,55079021000,779,1,1.2836970474967906
1998,55079021100,523,1,1.9120458891013383
1998,55079021200,467,1,2.1413276231263385
1998,55079021600,1235,1,0.8097165991902834
1998,55079021700,1875,2,1.0666666666666667
1998,55079021800,475,1,2.1052631578947367
1998,55079185400,403,1,2.4813895781637716
1998,55079185500,318,2,6.289308176100629
1998,55079185600,351,5,14.245014245014245
1998,55079185700,450,3,6.666666666666667
1998,55079185800,319,1,3.134796238244514
1998,55079185900,189,1,5.291005291005291
1998,55079186100,283,2,7.067137809187279
1998,55079186200,213,1,4.694835680751174
1998,55079186500,300,1,3.3333333333333335
1998,55079186600,401,3,7.481296758104738
1999,55079000101,604,4,6.622516556291391
1999,55079000102,935,3,3.2085561497326203
1999,55079000201,872,20,22.93577981651376
1999,55079000202,1181,2,1.6934801016088061
1999,55079000301,658,1,1.5197568389057752
1999,55079000302,434,20,46.082949308755765
1999,55079000304,996,1,1.004016064257028
1999,55079000400,370,1,2.7027027027027026
1999,55079000501,735,2,2.7210884353741496
1999,55079000502,456,5,10.964912280701753
1999,55079000600,1468,4,2.7247956403269753
1999,55079000700,966,5,5.175983436853002
1999,55079000800,1185,2,1.6877637130801688
1999,55079000900,651,2,3.0721966205837172
1999,55079001000,985,6,6.091370558375634
1999,55079001100,517,7,13.539651837524179
1999,55079001200,471,15,31.84713375796178
1999,55079001300,907,6,6.615214994487321
1999,55079001400,327,1,3.058103975535168
1999,55079001500,600,8,13.333333333333334
1999,55079001600,606,3,4.9504950495049505
1999,55079001700,953,5,5.246589716684155
1999,55079001800,581,6,10.327022375215147
1999,55079001900,842,6,7.125890736342043
1999,55079002000,712,8,11.235955056179774
1999,55079002100,569,6,10.54481546572935
1999,55079002200,578,3,5.190311418685121
1999,55079002300,1133,8,7.06090026478376
1999,55079002400,534,11,20.599250936329586
1999,55079002500,555,13,23.423423423423422
1999,55079002600,837,14,16.726403823178018
1999,55079002700,619,7,11.308562197092083
1999,55079002800,574,9,15.679442508710801
1999,55079002900,663,5,7.541478129713424
1999,55079003000,1198,7,5.843071786310517
1999,55079003100,1053,5,4.748338081671415
1999,55079003200,843,1,1.1862396204033216
1999,55079003300,1145,6,5.240174672489083
1999,55079003400,1423,1,0.7027406886858749
1999,55079003500,1046,7,6.692160611854685
1999,55079003600,546,5,9.157509157509159
1999,55079003700,773,3,3.8809831824062098
1999,55079003800,671,11,16.393442622950822
1999,55079003900,782,7,8.951406649616368
1999,55079004000,540,10,18.51851851851852
1999,55079004100,806,9,11.166253101736972
1999,55079004200,693,14,20.202020202020204
1999,55079004300,1471,12,8.157715839564922
1999,55079004400,464,13,28.017241379310345
1999,55079004500,649,7,10.785824345146379
1999,55079004600,766,8,10.443864229765014
1999,55079004700,1083,15,13.850415512465373
1999,55079004800,1004,16,15.936254980079681
1999,55079004900,1203,9,7.481296758104738
1999,55079005100,731,5,6.839945280437757
1999,55079005200,572,2,3.4965034965034967
1999,55079005300,709,2,2.8208744710860367
1999,55079005400,1373,2,1.4566642388929352
1999,55079005500,1207,1,0.828500414250207
1999,55079005800,966,3,3.105590062111801
1999,55079005900,931,6,6.44468313641246
1999,55079006000,521,7,13.435700575815739
1999,55079006100,568,4,7.042253521126761
1999,55079006200,583,11,18.867924528301884
1999,55079006300,612,15,24.509803921568626
1999,55079006400,611,12,19.639934533551553
1999,55079006500,656,11,16.76829268292683
1999,55079006600,806,17,21.091811414392062
1999,55079006700,339,5,14.749262536873156
1999,55079006800,667,9,13.493253373313344
1999,55079006900,544,12,22.058823529411764
1999,55079007000,609,12,19.704433497536947
1999,55079007100,477,3,6.289308176100629
1999,55079007200,778,3,3.8560411311053984
1999,55079007400,424,1,2.3584905660377355
1999,55079007900,395,2,5.063291139240507
1999,55079008000,424,2,4.716981132075471
1999,55079008100,291,6,20.61855670103093
