year_end,tract_2010,parcels
1994,55079021000,778
1994,55079021100,523
1994,55079021200,467
1994,55079021300,311
1994,55079021400,412
1994,55079021500,885
1994,55079021600,1231
1994,55079021700,1868
1994,55079021800,468
1994,55079060200,19
1994,55079080400,2
1994,55079090200,12
1994,55079091000,22
1994,55079091300,9
1994,55079091400,7
1994,55079101600,10
1994,55079110100,23
1994,55079120300,12
1994,55079120400,33
1994,55079120502,10
1994,55079185100,8
1994,55079185200,22
1994,55079185400,430
1994,55079185500,331
1994,55079185600,360
1994,55079185700,478
1994,55079185800,336
1994,55079185900,209
1994,55079186000,79
1994,55079186100,284
1994,55079186200,219
1994,55079186400,3
1994,55079186500,306
1994,55079186600,403
1994,55079186800,68
1994,55079186900,68
1994,55079187000,382
1994,55079187400,1
1994,55079980000,14
1995,55079000101,602
1995,55079000102,931
1995,55079000201,869
1995,55079000202,1152
1995,55079000301,647
1995,55079000302,394
1995,55079000303,453
1995,55079000304,1004
1995,55079000400,370
1995,55079000501,733
1995,55079000502,455
1995,55079000600,1452
1995,55079000700,969
1995,55079000800,1184
1995,55079000900,656
1995,55079001000,986
1995,55079001100,516
1995,55079001200,470
1995,55079001300,906
1995,55079001400,327
1995,55079001500,601
1995,55079001600,606
1995,55079001700,957
1995,55079001800,580
1995,55079001900,845
1995,55079002000,713
1995,55079002100,574
1995,55079002200,573
1995,55079002300,1133
1995,55079002400,537
1995,55079002500,555
1995,55079002600,840
1995,55079002700,624
1995,55079002800,576
1995,55079002900,662
1995,55079003000,1197
1995,55079003100,1050
1995,55079003200,846
1995,55079003300,1144
1995,55079003400,1424
1995,55079003500,1045
1995,55079003600,545
1995,55079003700,776
1995,55079003800,676
1995,55079003900,783
1995,55079004000,543
1995,55079004100,808
1995,55079004200,692
1995,55079004300,1471
1995,55079004400,468
1995,55079004500,653
1995,55079004600,769
1995,55079004700,1088
1995,55079004800,1007
1995,55079004900,1202
1995,55079005000,1369
1995,55079005100,731
1995,55079005200,571
1995,55079005300,707
1995,55079005400,1372
1995,55079005500,1209
1995,55079005600,778
1995,55079005700,854
1995,55079005800,968
1995,55079005900,915
1995,55079006000,521
1995,55079006100,569
1995,55079006200,596
1995,55079006300,639
1995,55079006400,647
1995,55079006500,672
1995,55079006600,844
1995,55079006700,357
1995,55079006800,693
1995,55079006900,566
1995,55079007000,632
1995,55079007100,479
1995,55079007200,779
1995,55079007300,546
1995,55079007400,423
1995,55079007500,723
1995,55079007600,375
1995,55079007700,488
1995,55079007800,549
1995,55079007900,393
1995,55079008000,427
1995,55079008100,307
1995,55079008400,349
1995,55079008500,311
1995,55079008600,359
1995,55079008700,380
1995,55079008800,488
1995,55079008900,386
1995,55079009000,516
1995,55079009100,564
1995,55079009200,368
1995,55079009300,726
1995,55079009400,750
1995,55079009500,625
1995,55079009600,536
1995,55079009700,331
1995,55079009800,321
